tyc,name,bayer,flamsteed,constellation
TYC 1202-2127-1,,ψ2,79,Psc
TYC 1205-1654-1,,,105,Psc
TYC 1205-1655-1,,,3,Psc
TYC 1206-1792-1,,,4,Ari
TYC 1209-1835-1,Mesarthim,γ1,5,Ari
TYC 1210-1641-1,,ι,8,Ari
TYC 1211-1730-1,,,109,Psc
TYC 1211-1733-1,,,107,Psc
TYC 1212-830-1,,,,Ari
TYC 1212-1934-1,,,1,Ari
TYC 1212-1935-1,Sheratan,β,6,Ari
TYC 1214-1511-1,,,19,Ari
TYC 1216-1511-1,,,29,Ari
TYC 1217-1559-1,,θ,22,Ari
TYC 1217-1560-1,,,15,Ari
TYC 1219-1986-1,,,26,Ari
TYC 1219-1987-1,,,27,Ari
TYC 1220-1929-1,,η,17,Ari
TYC 1222-2067-1,,ν,32,Ari
TYC 1223-1646-1,,ο,37,Ari
TYC 1223-1987-1,Al Butain,π,42,Ari
TYC 1224-1521-1,,σ,43,Ari
TYC 1226-2016-1,,,40,Ari
TYC 1226-2017-1,,,36,Ari
TYC 1227-1400-1,,,45,Ari
TYC 1227-1401-1,,ρ,46,Ari
TYC 1228-696-1,,,54,Ari
TYC 1228-703-1,,,53,Ari
TYC 1228-2019-1,Botein,δ,57,Ari
TYC 1229-1969-1,Koleon,μ,34,Ari
TYC 1230-1424-1,,ε,48,Ari
TYC 1230-1425-1,,,47,Ari
TYC 1243-280-1,,,14,Tau
TYC 1243-946-1,,,13,Tau
TYC 1244-1190-1,,ζ,58,Ari
TYC 1245-387-1,,,65,Ari
TYC 1245-1184-1,,τ,61,Ari
TYC 1245-1185-1,,,63,Ari
TYC 1249-1065-1,,,,
TYC 1251-128-1,,,48,Tau
TYC 1259-984-1,,,43,Tau
TYC 1261-1718-1,,,32,Tau
TYC 1262-1645-1,,A1,37,Tau
TYC 1262-1646-1,,A2,39,Tau
TYC 1263-1276-1,,,,Tau
TYC 1264-348-1,,,55,Tau
TYC 1264-1008-1,,,63,Tau
TYC 1264-1009-1,Prima Hyadum,γ,54,Tau
TYC 1264-1010-1,,,58,Tau
TYC 1265-1168-1,,,75,Tau
TYC 1265-1169-1,,,,
TYC 1265-1170-1,,θ1,77,Tau
TYC 1265-1171-1,,,70,Tau
TYC 1265-1172-1,Chamukuy,θ2,78,Tau
